slug,nome,descrizione_unica,caratteristica,vincoli
centro-storico,Centro Storico,"Il cuore di Castellammare del Golfo con il porto, il castello normanno e i vicoli caratteristici del centro storico","Architettura arabo-normanna e mediterranea","Vincolo paesaggistico e della Soprintendenza per edifici storici"
scopello,Scopello,"Borgo marinaro e tonnara storica, una delle località più suggestive della costa trapanese","Borgo antico con tonnara e faraglioni","Vincolo paesaggistico rigoroso, zona di interesse naturalistico"
balata-di-baida,Balata di Baida,"Località balneare con calette e acque cristalline, meta turistica estiva","Zona costiera con spiagge e calette","Vincoli costieri e ambientali, limite edificabilità"
guidaloca,Guidaloca,"Baia turistica con spiaggia sabbiosa e fondali bassi, ideale per famiglie","Zona balneare attrezzata","Vincoli ambientali costieri, piano regolatore specifico"
magazzinazzi,Magazzinazzi,"Zona commerciale e portuale vicino al porto di Castellammare","Area commerciale e logistica","Nessun vincolo particolare, zona PRC"
caldores,Caldores,"Zona residenziale a nord del centro, con villette e appartamenti","Quartiere residenziale moderno","Regolamento edilizio comunale"
raggia,Raggia,"Frazione agricola e residenziale nell'entroterra di Castellammare","Zona mista agricola-residenziale","Vincoli agricoli e paesaggistici"
sant-antonio,Sant'Antonio,"Quartiere periferico a sud del centro con edilizia popolare e residenziale","Zona residenziale popolare","Nessun vincolo particolare"
bivio-castellammare,Bivio Castellammare,"Zona di passaggio commerciale sulla SS187, con attività commerciali e servizi","Area commerciale e di transito","Nessun vincolo particolare"
inizi,Inici,"Frazione interna collinare con tradizione agricola e vitivinicola","Zona agricola collinare","Vincoli agricoli e paesaggistici"
