slug,nome,regione,provincia,lat,lon,file_quartieri,file_servizi,file_frasi,template_hub,template_hub_quartiere,template_landing,stato
palermo,Palermo,IT-PA,PA,38.115687,13.361267,quartieri.csv,servizi.csv,frasi_uniche.json,hub_palermo.html,hub_quartiere.html,landing_page.html,attivo
castellammare,Castellammare del Golfo,IT-TP,TP,38.0222,12.9681,quartieri_castellammare.csv,servizi_castellammare.csv,frasi_uniche.json,hub_palermo.html,hub_quartiere.html,landing_page.html,attivo
alcamo,Alcamo,IT-TP,TP,37.9769,12.9669,quartieri_alcamo.csv,servizi_alcamo.csv,frasi_uniche_alcamo.json,hub_alcamo.html,hub_quartiere_alcamo.html,landing_page_alcamo.html,attivo
terrasini,Terrasini,IT-PA,PA,38.1517,13.1364,quartieri_terrasini.csv,servizi_terrasini.csv,frasi_uniche_terrasini.json,hub_terrasini.html,hub_quartiere_terrasini.html,landing_page_terrasini.html,attivo
cinisi,Cinisi,IT-PA,PA,38.1675,13.1000,quartieri_cinisi.csv,servizi_cinisi.csv,frasi_uniche_cinisi.json,hub_cinisi.html,hub_quartiere_cinisi.html,landing_page_cinisi.html,attivo
balestrate,Balestrate,IT-PA,PA,38.1383,13.0731,quartieri_balestrate.csv,servizi_balestrate.csv,frasi_uniche_balestrate.json,hub_balestrate.html,hub_quartiere_balestrate.html,landing_page_balestrate.html,attivo
partinico,Partinico,IT-PA,PA,38.0456,13.1156,quartieri_partinico.csv,servizi_partinico.csv,frasi_uniche_partinico.json,hub_partinico.html,hub_quartiere_partinico.html,landing_page_partinico.html,attivo
monreale,Monreale,IT-PA,PA,38.0833,13.2833,quartieri_monreale.csv,servizi_monreale.csv,frasi_uniche_monreale.json,hub_monreale.html,hub_quartiere_monreale.html,landing_page_monreale.html,attivo
trappeto,Trappeto,IT-PA,PA,38.1333,13.1000,quartieri_trappeto.csv,servizi_trappeto.csv,frasi_uniche_trappeto.json,hub_trappeto.html,hub_quartiere_trappeto.html,landing_page_trappeto.html,attivo
isola-delle-femmine,Isola delle Femmine,IT-PA,PA,38.2094,13.3217,quartieri_isola_delle_femmine.csv,servizi_isola_delle_femmine.csv,frasi_uniche_isola_delle_femmine.json,hub_isola_delle_femmine.html,hub_quartiere_isola_delle_femmine.html,landing_page_isola_delle_femmine.html,attivo
carini,Carini,IT-PA,PA,38.1725,13.1853,quartieri_carini.csv,servizi_carini.csv,frasi_uniche_carini.json,hub_carini.html,hub_quartiere_carini.html,landing_page_carini.html,attivo
